accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
0.02,0.02,-1.25,4.09,0.98,-0.31,0.00,0.00,0.00,0.00,Normal
0.06,0.01,-1.22,2.87,4.70,-2.14,0.00,0.05,0.05,0.08,Normal
0.02,0.02,-1.25,3.17,0.00,-0.73,0.06,0.15,0.15,0.11,Normal
0.02,0.02,-1.25,3.30,0.12,-0.37,0.12,0.15,0.14,0.17,Normal
0.03,0.02,-1.25,4.27,0.98,-0.67,0.13,0.16,0.15,0.20,Normal
0.03,0.02,-1.25,2.81,-0.37,-0.67,0.13,0.17,0.16,0.18,Normal
0.03,0.02,-1.25,3.17,-0.43,-0.49,0.10,0.15,0.14,0.15,Normal
0.02,0.01,-1.25,2.93,0.31,-0.43,0.12,0.16,0.14,0.19,Normal
0.02,0.02,-1.26,3.36,0.43,-0.79,0.14,0.16,0.14,0.20,Abnormal
0.03,0.02,-1.25,2.38,0.24,-0.67,0.15,0.16,0.15,0.21,Abnormal
0.03,0.01,-1.25,3.66,0.73,-2.01,0.14,0.21,0.20,0.20,Abnormal
0.03,0.02,-1.25,2.14,1.46,-0.31,0.13,0.28,0.27,0.17,Normal
0.03,0.02,-1.25,2.99,0.43,-0.92,0.08,0.05,0.00,0.11,Normal
0.03,0.02,-1.26,2.32,-0.43,-0.55,0.00,0.00,0.00,0.05,Normal
0.02,0.01,-1.24,3.42,-0.92,-2.50,0.10,0.05,0.00,0.14,Normal
0.02,0.01,-1.24,1.28,0.61,-0.67,0.11,0.05,0.00,0.15,Normal
0.02,0.02,-1.25,2.56,0.00,-0.49,0.18,0.06,0.00,0.30,Abnormal
0.02,0.01,-1.25,2.87,-0.61,-1.53,0.00,0.08,0.07,0.00,Normal
0.02,0.03,-1.25,3.78,0.61,-0.79,0.00,0.27,0.26,0.09,Normal
0.02,0.02,-1.26,3.30,0.12,-0.67,0.00,0.24,0.24,0.11,Normal
0.02,0.02,-1.26,-4.33,-4.82,-1.65,0.00,0.23,0.21,0.11,Normal
0.03,0.02,-1.25,4.39,0.92,-0.37,0.08,0.17,0.16,0.13,Normal
0.03,0.02,-1.26,1.89,2.08,-1.28,0.12,0.20,0.19,0.17,Normal
0.03,0.02,-1.25,4.21,2.56,-0.67,0.12,0.23,0.22,0.16,Normal
0.02,0.02,-1.25,2.87,-0.31,-0.43,0.15,0.16,0.16,0.20,Abnormal
0.02,0.02,-1.25,3.91,-0.12,-0.37,0.00,0.18,0.18,0.00,Normal
0.02,0.02,-1.25,3.48,0.24,-0.43,0.00,0.22,0.23,0.07,Normal
0.03,0.03,-1.27,7.26,4.03,0.85,0.07,0.22,0.22,0.09,Normal
0.02,0.02,-1.26,2.08,-0.24,-0.98,0.12,0.21,0.20,0.17,Normal
0.01,0.01,-1.22,9.09,0.55,-1.34,0.10,0.21,0.22,0.15,Normal
0.02,0.02,-1.26,1.77,-0.67,0.31,0.12,0.20,0.20,0.13,Normal
0.02,0.01,-1.25,4.09,0.37,0.12,0.05,0.34,0.38,0.07,Normal
0.03,0.01,-1.24,3.91,0.06,-0.92,0.00,0.31,0.33,0.08,Normal
0.02,0.04,-1.27,0.92,-1.59,0.98,0.06,0.27,0.28,0.10,Normal
0.01,0.02,-1.26,3.30,-0.24,-0.24,0.09,0.21,0.21,0.13,Normal
0.03,0.02,-1.25,3.72,0.49,-0.37,0.10,0.18,0.18,0.17,Normal
0.02,0.02,-1.24,3.23,0.37,-0.49,0.09,0.15,0.15,0.14,Normal
0.02,0.02,-1.25,1.16,-1.83,1.28,0.15,0.25,0.27,0.20,Abnormal
0.03,0.03,-1.25,3.23,0.61,0.00,0.26,0.32,0.33,0.32,Abnormal
0.02,0.02,-1.26,2.99,-0.24,-0.55,0.21,0.28,0.29,0.27,Abnormal
0.04,0.03,-1.26,2.81,3.23,-0.61,0.00,0.25,0.26,0.06,Normal
0.02,0.02,-1.25,2.75,-0.49,-0.85,0.00,0.28,0.29,0.00,Normal
0.02,0.02,-1.25,4.03,-1.28,0.37,0.00,0.25,0.26,0.00,Normal
0.02,0.02,-1.25,2.62,-0.67,-0.31,0.00,0.25,0.25,0.10,Normal
0.03,0.02,-1.25,1.95,0.37,-0.18,0.18,0.25,0.25,0.24,Abnormal
0.02,0.01,-1.25,3.42,0.31,-0.67,0.18,0.25,0.25,0.26,Abnormal
0.02,0.02,-1.26,1.77,-1.04,-1.16,0.13,0.25,0.26,0.16,Normal
