accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.16,0.06,-1.25,3.05,0.06,-0.92,0.00,0.00,0.00,0.00,Normal
-0.16,0.06,-1.25,3.11,0.06,-0.79,0.00,0.00,0.00,0.00,Normal
-0.15,0.05,-1.24,2.50,0.73,-0.67,0.00,0.00,0.00,0.00,Normal
-0.17,0.06,-1.23,2.62,0.49,-0.55,0.00,0.00,0.00,0.00,Normal
-0.16,0.06,-1.25,2.87,0.06,-0.73,0.00,0.00,0.00,0.00,Normal
-0.16,0.07,-1.26,2.93,0.37,-0.73,0.00,0.00,0.00,0.00,Normal
-0.15,0.06,-1.24,2.62,0.18,-0.55,0.00,0.00,0.00,0.00,Normal
-0.17,0.06,-1.25,2.32,1.40,-0.67,0.00,0.00,0.00,0.00,Normal
-0.16,0.06,-1.24,2.69,-0.24,-0.98,0.00,0.00,0.00,0.00,Normal
-0.15,0.05,-1.25,3.11,-0.31,-0.98,0.00,0.00,0.00,0.00,Normal
