accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.13,0.02,-1.25,3.30,-0.37,-0.79,0.00,0.00,0.00,0.00,Normal
-0.13,0.03,-1.25,2.62,-0.12,-0.31,0.07,0.00,0.00,0.00,Normal
-0.14,0.02,-1.25,2.93,0.24,-0.55,0.33,0.17,0.12,0.29,Abnormal
-0.14,0.02,-1.25,3.05,0.06,-0.55,0.07,0.07,0.05,0.06,Normal
-0.13,0.02,-1.25,2.99,0.24,-0.85,0.29,0.00,0.00,0.23,Abnormal
-0.13,0.02,-1.25,3.05,0.12,-0.67,0.16,0.12,0.10,0.14,Normal
-0.14,0.02,-1.25,3.11,-0.06,-0.55,0.11,0.18,0.15,0.09,Normal
-0.14,0.02,-1.24,3.05,0.18,-0.67,0.19,0.19,0.16,0.16,Normal
-0.14,0.02,-1.25,3.17,0.12,-0.61,0.20,0.19,0.15,0.17,Normal
-0.13,0.02,-1.25,3.11,0.06,-0.61,0.20,0.18,0.14,0.17,Normal
-0.14,0.02,-1.24,3.11,-0.18,-0.55,0.22,0.18,0.15,0.18,Normal
-0.13,0.02,-1.25,2.93,0.00,-0.79,0.21,0.18,0.14,0.18,Normal
-0.13,0.02,-1.25,3.17,-0.18,-0.73,0.22,0.18,0.15,0.18,Normal
-0.14,0.02,-1.25,2.99,0.06,-0.67,0.23,0.19,0.15,0.20,Abnormal
-0.13,0.02,-1.25,2.99,0.12,-0.49,0.23,0.19,0.15,0.19,Normal
-0.14,0.02,-1.24,2.81,0.06,-0.73,0.17,0.19,0.15,0.14,Normal
-0.13,0.02,-1.25,2.99,-0.18,-0.61,0.17,0.20,0.16,0.14,Normal
-0.14,0.02,-1.25,2.93,-0.06,-0.67,0.19,0.17,0.13,0.16,Normal
-0.13,0.02,-1.25,3.11,0.18,-0.85,0.19,0.18,0.15,0.16,Normal
-0.14,0.02,-1.26,3.17,0.12,-0.79,0.20,0.18,0.15,0.17,Normal
-0.13,0.02,-1.25,3.23,-0.12,-0.73,0.20,0.18,0.14,0.18,Normal
-0.14,0.02,-1.25,3.05,0.12,-0.55,0.26,0.18,0.14,0.22,Abnormal
-0.14,0.02,-1.25,2.93,-0.06,-0.85,0.20,0.18,0.14,0.16,Normal
-0.14,0.02,-1.24,3.11,0.18,-0.73,0.18,0.17,0.13,0.15,Normal
-0.14,0.02,-1.25,3.05,-0.24,-0.79,0.19,0.16,0.12,0.16,Normal
-0.13,0.02,-1.25,2.99,-0.12,-0.61,0.19,0.16,0.12,0.16,Normal
-0.14,0.02,-1.25,2.99,-0.24,-0.61,0.19,0.16,0.13,0.16,Normal
-0.13,0.02,-1.25,3.23,-0.49,-0.43,0.19,0.16,0.12,0.16,Normal
-0.14,0.02,-1.25,2.81,0.00,-0.55,0.22,0.13,0.10,0.19,Normal
-0.14,0.02,-1.25,3.30,0.31,-0.49,0.24,0.15,0.12,0.20,Abnormal
-0.14,0.02,-1.25,2.56,-0.49,-0.61,0.21,0.15,0.12,0.17,Normal
-0.14,0.02,-1.24,2.87,0.18,-0.61,0.19,0.12,0.09,0.16,Normal
-0.14,0.02,-1.25,2.99,-0.06,-0.67,0.19,0.10,0.06,0.16,Normal
