accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
0.06,0.01,-1.25,1.46,-0.24,-1.65,0.00,0.00,0.00,0.00,Normal
0.06,0.01,-1.25,2.62,0.18,-1.04,0.26,0.15,0.14,0.22,Abnormal
0.06,0.02,-1.25,3.23,0.79,-0.98,0.28,0.20,0.21,0.26,Abnormal
0.06,0.01,-1.25,3.30,0.79,-0.92,0.29,0.13,0.15,0.27,Abnormal
0.06,0.01,-1.26,1.77,0.31,-0.73,0.25,0.14,0.17,0.23,Abnormal
0.06,0.02,-1.27,0.37,1.04,-1.83,0.05,0.00,0.00,0.05,Normal
0.05,0.01,-1.25,2.99,-0.06,-0.73,0.07,0.00,0.05,0.07,Normal
0.05,0.01,-1.25,2.38,0.37,-0.67,0.09,0.14,0.18,0.09,Normal
0.06,0.00,-1.25,3.11,0.12,-0.73,0.09,0.20,0.23,0.09,Normal
0.06,0.01,-1.24,2.08,1.22,0.18,0.13,0.18,0.21,0.13,Normal
0.05,0.01,-1.25,3.54,-0.06,-0.92,0.13,0.18,0.21,0.13,Normal
0.05,0.01,-1.26,3.48,-0.37,-0.61,0.14,0.19,0.21,0.14,Normal
0.05,0.00,-1.24,3.66,0.79,-1.04,0.13,0.17,0.19,0.13,Normal
0.05,0.01,-1.25,2.32,-0.12,-0.79,0.13,0.17,0.20,0.14,Normal
0.05,0.01,-1.25,4.03,0.24,-0.49,0.15,0.17,0.19,0.14,Normal
0.06,0.02,-1.24,3.36,0.55,-0.55,0.15,0.17,0.18,0.15,Normal
0.05,0.01,-1.25,3.42,0.73,-0.92,0.16,0.17,0.19,0.15,Normal
0.05,0.02,-1.25,2.62,0.12,-0.92,0.16,0.17,0.19,0.15,Normal
0.05,0.02,-1.25,2.81,-0.06,-0.79,0.16,0.19,0.21,0.16,Normal
0.05,0.01,-1.25,3.30,-0.12,-0.79,0.16,0.19,0.21,0.16,Normal
0.05,0.02,-1.26,3.30,0.31,-0.85,0.19,0.25,0.26,0.19,Normal
0.06,0.01,-1.25,2.69,0.06,-0.55,0.17,0.25,0.26,0.17,Normal
0.05,0.01,-1.25,3.23,0.18,-0.67,0.21,0.27,0.28,0.21,Abnormal
0.05,0.02,-1.25,2.87,0.18,-0.79,0.17,0.26,0.27,0.17,Normal
0.05,0.01,-1.25,3.78,0.18,-0.73,0.19,0.27,0.27,0.18,Normal
0.05,0.02,-1.25,2.69,-0.06,-0.79,0.19,0.27,0.28,0.19,Normal
0.05,0.02,-1.25,3.23,-0.18,-0.79,0.18,0.31,0.31,0.19,Normal
0.05,0.02,-1.26,2.44,0.06,-0.85,0.19,0.35,0.34,0.19,Normal
0.05,0.02,-1.25,2.69,0.37,-0.55,0.20,0.27,0.29,0.19,Normal
0.04,0.01,-1.25,3.66,-0.55,-0.55,0.22,0.30,0.31,0.22,Abnormal
0.05,0.01,-1.25,2.44,0.37,-0.55,0.21,0.29,0.30,0.21,Abnormal
0.06,0.02,-1.25,2.26,0.49,-1.16,0.13,0.23,0.26,0.12,Normal
0.05,0.02,-1.24,3.30,0.18,-0.79,0.15,0.32,0.33,0.14,Normal
0.05,0.01,-1.25,3.48,-0.06,-0.73,0.16,0.30,0.32,0.15,Normal
0.05,0.01,-1.25,3.17,-0.24,-0.67,0.16,0.32,0.28,0.15,Normal
0.06,0.01,-1.26,2.99,0.12,-0.92,0.17,0.32,0.33,0.16,Normal
0.05,0.02,-1.25,3.11,-0.18,-0.67,0.17,0.30,0.30,0.16,Normal
0.06,0.02,-1.24,2.56,0.12,0.37,0.17,0.29,0.30,0.16,Normal
0.05,0.01,-1.25,3.48,0.37,-0.79,0.18,0.28,0.29,0.16,Normal
0.06,0.01,-1.25,2.32,-0.18,-0.98,0.18,0.28,0.29,0.17,Normal
0.05,0.01,-1.25,2.87,-0.37,-0.43,0.18,0.27,0.29,0.17,Normal
0.05,0.01,-1.25,2.62,0.43,-0.67,0.18,0.28,0.29,0.18,Normal
0.05,0.02,-1.25,2.99,-0.18,-0.79,0.19,0.26,0.29,0.17,Normal
0.05,0.01,-1.25,2.99,-0.12,-0.67,0.19,0.27,0.29,0.17,Normal
