accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.15,0.03,-1.25,2.93,-0.06,-0.61,0.00,0.00,0.00,0.00,Normal
-0.16,0.03,-1.24,2.75,-0.06,-0.73,0.00,0.00,0.00,0.00,Normal
-0.16,0.03,-1.24,2.93,0.24,-0.61,0.00,0.00,0.00,0.00,Normal
-0.15,0.03,-1.25,2.93,-0.06,-0.61,0.00,0.14,0.09,0.00,Normal
-0.16,0.03,-1.25,2.81,-0.06,-0.67,0.12,0.12,0.09,0.08,Normal
-0.15,0.03,-1.24,2.62,0.67,-0.55,0.42,0.18,0.14,0.30,Abnormal
-0.15,0.03,-1.25,3.05,0.06,-0.55,0.27,0.15,0.10,0.23,Abnormal
-0.15,0.03,-1.25,2.81,0.06,-0.98,0.27,0.10,0.07,0.25,Abnormal
-0.15,0.03,-1.24,2.93,-0.06,-0.61,0.17,0.22,0.17,0.16,Normal
-0.15,0.03,-1.25,3.05,-0.12,-0.73,0.18,0.29,0.24,0.18,Normal
-0.16,0.03,-1.24,2.62,0.12,-0.61,0.20,0.38,0.34,0.19,Normal
-0.16,0.03,-1.25,2.93,-0.31,-0.73,0.24,0.44,0.32,0.22,Abnormal
-0.16,0.03,-1.25,3.05,-0.12,-0.73,0.31,0.39,0.28,0.25,Abnormal
-0.16,0.03,-1.24,2.56,0.37,-0.79,0.14,0.33,0.22,0.12,Normal
-0.15,0.03,-1.25,3.05,-0.12,-0.67,0.18,0.39,0.27,0.18,Normal
-0.15,0.03,-1.24,2.87,0.00,-0.67,0.20,0.37,0.27,0.20,Normal
-0.15,0.03,-1.25,2.93,0.06,-0.61,0.20,0.37,0.27,0.20,Abnormal
-0.15,0.03,-1.25,2.81,-0.31,-0.61,0.21,0.35,0.26,0.21,Abnormal
-0.15,0.03,-1.25,2.93,0.12,-0.55,0.20,0.35,0.26,0.18,Normal
-0.16,0.03,-1.25,2.62,0.24,-0.31,0.20,0.33,0.26,0.19,Normal
-0.15,0.03,-1.25,2.81,0.06,-0.79,0.20,0.36,0.29,0.20,Normal
-0.15,0.03,-1.24,2.81,0.00,-0.55,0.20,0.37,0.29,0.19,Normal
-0.15,0.03,-1.24,2.50,0.24,-0.37,0.20,0.56,0.37,0.19,Normal
-0.15,0.03,-1.26,2.93,0.24,-0.98,0.21,0.48,0.35,0.19,Normal
-0.15,0.03,-1.24,2.81,0.06,-0.49,0.21,0.47,0.34,0.20,Normal
-0.15,0.03,-1.24,2.87,-0.24,-0.79,0.20,0.54,0.32,0.20,Normal
-0.15,0.03,-1.24,2.93,0.06,-0.73,0.20,0.43,0.31,0.20,Abnormal
-0.15,0.03,-1.24,2.87,0.18,-0.49,0.21,0.52,0.32,0.20,Abnormal
-0.15,0.03,-1.24,2.69,-0.06,-0.79,0.15,0.42,0.28,0.14,Normal
-0.16,0.03,-1.25,2.81,-0.12,-0.61,0.18,0.40,0.28,0.17,Normal
-0.15,0.03,-1.25,2.56,-0.12,-0.79,0.19,0.39,0.28,0.18,Normal
-0.15,0.03,-1.25,2.87,-0.24,-0.55,0.19,0.39,0.27,0.18,Normal
-0.15,0.04,-1.25,3.05,-0.18,-0.73,0.19,0.41,0.27,0.18,Normal
-0.15,0.03,-1.25,2.81,0.12,-0.55,0.19,0.44,0.26,0.18,Normal
-0.15,0.03,-1.25,2.81,-0.06,-0.49,0.18,0.44,0.25,0.17,Normal
-0.15,0.03,-1.25,2.81,0.06,-0.49,0.19,0.43,0.25,0.17,Normal
-0.15,0.03,-1.25,3.05,0.00,-0.67,0.19,0.42,0.24,0.17,Normal
-0.15,0.03,-1.25,2.75,-0.12,-0.67,0.19,0.42,0.23,0.17,Normal
-0.16,0.03,-1.25,2.81,0.12,-0.61,0.18,0.41,0.22,0.17,Normal
-0.15,0.03,-1.25,2.87,0.12,-0.79,0.18,0.40,0.23,0.17,Normal
-0.16,0.03,-1.25,2.75,0.12,-0.49,0.18,0.39,0.22,0.17,Normal
-0.16,0.03,-1.25,2.69,-0.12,-0.73,0.19,0.39,0.23,0.18,Normal
-0.15,0.03,-1.25,2.81,-0.06,-0.67,0.18,0.37,0.21,0.17,Normal
-0.15,0.03,-1.25,3.05,0.06,-0.67,0.18,0.34,0.20,0.17,Normal
-0.15,0.03,-1.25,2.87,0.00,-0.49,0.18,0.34,0.20,0.17,Normal
-0.16,0.03,-1.24,2.87,-0.12,-0.79,0.18,0.34,0.20,0.17,Normal
-0.15,0.03,-1.25,2.87,0.12,-0.85,0.19,0.35,0.20,0.18,Normal
-0.15,0.03,-1.25,3.23,0.31,-0.73,0.18,0.35,0.20,0.17,Normal
-0.15,0.03,-1.24,2.87,-0.06,-0.61,0.18,0.34,0.20,0.16,Normal
-0.15,0.03,-1.24,2.75,-0.06,-0.73,0.18,0.32,0.18,0.17,Normal
-0.15,0.03,-1.24,2.93,0.12,-0.67,0.18,0.34,0.19,0.16,Normal
-0.16,0.03,-1.25,2.87,-0.12,-0.67,0.18,0.34,0.18,0.17,Normal
