accelX,accelY,accelZ,gyroX,gyroY,gyroZ,fsr1,fsr2,fsr3,fsr4,label
-0.13,0.05,-1.25,3.05,-0.12,-0.55,0.00,0.00,0.00,0.00,Normal
-0.13,0.06,-1.25,2.01,1.59,-0.55,0.00,0.00,0.00,0.00,Normal
-0.14,0.05,-1.24,3.30,-0.43,-0.67,0.00,0.00,0.00,0.00,Normal
-0.14,0.05,-1.25,2.69,-0.12,-0.67,0.00,0.00,0.00,0.00,Normal
-0.14,0.04,-1.25,3.72,-0.79,-0.61,0.00,0.00,0.00,0.00,Normal
-0.13,0.05,-1.24,2.62,0.31,-0.49,0.00,0.00,0.00,0.00,Normal
-0.14,0.04,-1.24,2.87,0.06,-0.49,0.06,0.24,0.00,0.00,Normal
-0.14,0.05,-1.24,3.72,-0.79,-0.61,0.36,0.29,0.15,0.32,Abnormal
-0.14,0.05,-1.25,2.93,0.37,-0.37,0.38,0.57,0.15,0.34,Abnormal
-0.14,0.04,-1.24,2.93,0.18,-0.61,0.20,0.31,0.00,0.18,Normal
-0.14,0.05,-1.24,2.87,0.12,-0.67,0.26,0.07,0.00,0.23,Abnormal
-0.14,0.05,-1.25,2.75,0.12,-0.43,0.21,0.33,0.09,0.18,Normal
-0.14,0.05,-1.24,3.05,-0.18,-0.61,0.17,0.23,0.15,0.13,Normal
-0.14,0.05,-1.25,2.38,0.43,-0.61,0.00,0.20,0.07,0.00,Normal
-0.13,0.05,-1.24,2.56,0.12,-0.61,0.15,0.25,0.08,0.12,Normal
-0.14,0.05,-1.25,2.69,0.06,-0.61,0.22,0.22,0.11,0.19,Normal
-0.13,0.05,-1.24,3.36,0.12,-0.37,0.22,0.23,0.12,0.18,Normal
-0.14,0.05,-1.25,2.81,-0.06,-0.61,0.25,0.26,0.15,0.21,Abnormal
-0.14,0.04,-1.25,2.99,0.00,-0.43,0.24,0.42,0.16,0.19,Normal
-0.14,0.05,-1.25,2.87,-0.18,-0.55,0.16,0.29,0.10,0.12,Normal
-0.14,0.05,-1.24,2.93,0.00,-0.43,0.20,0.33,0.16,0.17,Normal
-0.14,0.05,-1.25,2.99,0.18,-0.61,0.21,0.28,0.16,0.18,Normal
-0.14,0.05,-1.24,2.69,0.24,-0.49,0.20,0.27,0.16,0.17,Normal
-0.14,0.04,-1.25,2.62,0.06,-0.37,0.19,0.36,0.15,0.15,Normal
-0.14,0.04,-1.24,3.05,0.24,-0.49,0.19,0.40,0.15,0.15,Normal
-0.14,0.05,-1.25,2.62,-0.43,-0.49,0.16,0.25,0.12,0.12,Normal
-0.14,0.05,-1.24,3.66,-0.79,-0.61,0.17,0.22,0.13,0.13,Normal
-0.14,0.05,-1.25,3.78,-0.73,-0.43,0.16,0.19,0.13,0.12,Normal
-0.14,0.05,-1.24,2.81,0.37,-0.67,0.21,0.22,0.18,0.18,Normal
-0.14,0.04,-1.25,2.56,0.37,-0.49,0.22,0.20,0.18,0.18,Normal
-0.14,0.05,-1.26,3.23,0.18,-0.43,0.20,0.18,0.12,0.17,Normal
-0.14,0.05,-1.24,2.87,0.12,-0.49,0.23,0.22,0.18,0.19,Normal
-0.14,0.05,-1.25,2.93,-0.18,-0.49,0.23,0.21,0.18,0.19,Normal
-0.13,0.05,-1.24,2.75,-0.06,-0.61,0.22,0.21,0.18,0.18,Normal
-0.14,0.04,-1.25,2.75,0.12,-0.43,0.23,0.20,0.16,0.19,Normal
-0.14,0.05,-1.24,2.50,0.18,-0.55,0.23,0.18,0.14,0.18,Normal
-0.14,0.05,-1.24,3.17,-0.06,-0.61,0.23,0.18,0.14,0.19,Normal
-0.14,0.05,-1.25,2.81,0.00,-0.43,0.23,0.18,0.13,0.19,Normal
-0.14,0.05,-1.24,2.50,0.24,-0.31,0.25,0.21,0.17,0.19,Normal
-0.14,0.05,-1.25,2.81,0.12,-0.37,0.30,0.21,0.21,0.24,Abnormal
-0.14,0.05,-1.25,3.05,0.12,-0.55,0.16,0.13,0.06,0.11,Normal
-0.13,0.05,-1.24,3.11,-0.31,-0.18,0.11,0.09,0.00,0.09,Normal
-0.13,0.05,-1.25,2.87,0.18,-0.49,0.15,0.11,0.07,0.12,Normal
-0.14,0.05,-1.25,2.93,-0.24,-0.43,0.19,0.12,0.08,0.16,Normal
-0.13,0.05,-1.25,2.99,-0.24,-0.31,0.20,0.12,0.07,0.17,Normal
-0.14,0.05,-1.25,3.05,0.12,-0.49,0.15,0.12,0.05,0.11,Normal
-0.13,0.06,-1.25,2.62,0.37,-0.61,0.21,0.14,0.11,0.15,Normal
-0.13,0.05,-1.25,2.32,0.92,-0.61,0.14,0.11,0.08,0.10,Normal
-0.14,0.05,-1.24,2.93,0.12,-0.61,0.12,0.11,0.06,0.09,Normal
-0.14,0.05,-1.25,3.17,-0.43,-0.73,0.37,0.33,0.37,0.25,Abnormal
-0.14,0.05,-1.25,2.62,0.55,-0.55,0.06,0.07,0.05,0.00,Normal
-0.14,0.04,-1.25,3.05,-0.06,-0.67,0.08,0.08,0.06,0.00,Normal
-0.14,0.05,-1.25,2.87,0.00,-0.37,0.31,0.24,0.25,0.22,Abnormal
-0.14,0.05,-1.25,2.32,0.37,-0.55,0.29,0.22,0.21,0.20,Abnormal
-0.14,0.05,-1.25,2.56,0.55,-0.67,0.10,0.12,0.10,0.06,Normal
-0.13,0.05,-1.25,2.81,0.12,-0.43,0.19,0.18,0.16,0.12,Normal
-0.14,0.05,-1.25,3.91,-0.85,-0.43,0.14,0.19,0.15,0.09,Normal
-0.13,0.06,-1.24,6.77,-0.92,1.04,0.18,0.10,0.07,0.13,Normal
-0.13,0.05,-1.25,3.30,-0.06,-0.37,0.16,0.13,0.11,0.11,Normal
-0.13,0.05,-1.26,3.11,-0.37,-0.43,0.17,0.17,0.14,0.13,Normal
-0.12,0.05,-1.25,3.42,-0.31,-0.55,0.21,0.20,0.17,0.16,Normal
-0.11,0.06,-1.25,2.75,0.43,-0.73,0.20,0.17,0.12,0.14,Normal
-0.12,0.05,-1.24,0.12,3.36,-0.49,0.19,0.11,0.08,0.14,Normal
-0.13,0.05,-1.25,4.21,-0.24,-0.37,0.21,0.09,0.06,0.15,Normal
-0.12,0.04,-1.25,1.71,1.95,-0.73,0.22,0.00,0.00,0.16,Normal
-0.13,0.05,-1.25,2.93,0.06,-0.55,0.12,0.00,0.00,0.09,Normal
